JURISDICTION,AGE_GROUP,fines,arrests,charges,count_year,FINES_PER_CASE,ARREST_RATE,CHARGES_RATE
QLD,0-16,18147,0,0,36,504.08,0,0
WA,0-16,1187,1,26,74,16.04,1.35,35.14
NSW,0-16,281,0,68,71,3.96,0,95.77
NT,0-16,116,5,11,61,1.9,8.2,18.03
ACT,0-16,101,2,2,52,1.94,3.85,3.85
SA,0-16,56,10,4,80,0.7,12.5,5
VIC,0-16,45,0,0,46,0.98,0,0
TAS,0-16,26,0,20,28,0.93,0,71.43
VIC,17-25,169256,0,0,272,622.26,0,0
WA,17-25,153501,8,635,128,1199.23,6.25,496.09
QLD,17-25,121629,0,0,36,3378.58,0,0
NSW,17-25,91903,0,1337,140,656.45,0,955
SA,17-25,47168,51,166,201,234.67,25.37,82.59
TAS,17-25,19804,0,223,48,412.58,0,464.58
ACT,17-25,18198,4,31,72,252.75,5.56,43.06
NT,17-25,11691,20,143,84,139.18,23.81,170.24
VIC,26-39,538715,0,0,278,1937.82,0,0
WA,26-39,390677,22,1194,130,3005.21,16.92,918.46
QLD,26-39,237465,0,0,36,6596.25,0,0
NSW,26-39,122972,0,1017,141,872.14,0,721.28
SA,26-39,106935,71,232,207,516.59,34.3,112.08
TAS,26-39,42901,0,311,48,893.77,0,647.92
ACT,26-39,39696,3,32,72,551.33,4.17,44.44
NT,26-39,30187,37,194,84,359.37,44.05,230.95
VIC,40-64,842915,0,0,280,3010.41,0,0
WA,40-64,588767,5,1240,130,4528.98,3.85,953.85
QLD,40-64,330434,0,0,36,9178.72,0,0
SA,40-64,169796,62,211,213,797.16,29.11,99.06
NSW,40-64,122225,0,492,144,848.78,0,341.67
ACT,40-64,61314,1,19,72,851.58,1.39,26.39
TAS,40-64,56810,0,199,48,1183.54,0,414.58
NT,40-64,37682,15,88,84,448.6,17.86,104.76
VIC,65 and over,253610,0,0,273,928.97,0,0
WA,65 and over,145816,0,147,128,1139.19,0,114.84
QLD,65 and over,84968,0,0,36,2360.22,0,0
SA,65 and over,55799,1,14,206,270.87,0.49,6.8
NSW,65 and over,25088,0,17,132,190.06,0,12.88
TAS,65 and over,20436,0,6,48,425.75,0,12.5
ACT,65 and over,18896,0,0,71,266.14,0,0
NT,65 and over,8538,8,70,82,104.12,9.76,85.37
VIC,All ages,18028950,0,0,16,1126809.38,0,0
QLD,All ages,11700796,0,0,20,585039.8,0,0
NSW,All ages,9851288,0,0,21,469108.95,0,0
WA,All ages,8981609,0,0,21,427695.67,0,0
SA,All ages,1982809,0,0,16,123925.56,0,0
ACT,All ages,723194,0,0,12,60266.17,0,0
NT,All ages,430189,0,0,20,21509.45,0,0
TAS,All ages,396065,0,0,18,22003.61,0,0
