year,jurisdiction,fines,arrests
2008,NSW,590408,0
2008,NT,23865,0
2008,QLD,502886,0
2008,SA,119500,0
2008,TAS,59962,0
2008,VIC,1114036,0
2008,WA,228822,0
2009,NSW,513616,0
2009,NT,19893,0
2009,QLD,475870,0
2009,SA,107676,0
2009,TAS,67768,0
2009,VIC,1136590,0
2009,WA,254858,0
2010,ACT,58705,0
2010,NSW,390746,0
2010,NT,26775,0
2010,QLD,440622,0
2010,SA,91335,0
2010,TAS,37376,0
2010,VIC,1172460,0
2010,WA,300344,0
2011,ACT,56719,0
2011,NSW,389649,0
2011,NT,24633,0
2011,QLD,588714,0
2011,SA,61859,0
2011,TAS,24427,0
2011,VIC,1151555,0
2011,WA,558552,0
2012,ACT,54201,0
2012,NSW,432586,0
2012,NT,27730,0
2012,QLD,653679,0
2012,SA,54773,0
2012,TAS,7410,0
2012,VIC,1185037,0
2012,WA,588746,0
2013,ACT,51948,0
2013,NSW,426904,0
2013,NT,24536,0
2013,QLD,762905,0
2013,SA,74391,0
2013,TAS,7517,0
2013,VIC,1015986,0
2013,WA,543491,0
2014,ACT,45120,0
2014,NSW,468465,0
2014,NT,22871,0
2014,QLD,1004090,0
2014,SA,100562,0
2014,TAS,9250,0
2014,VIC,1307924,0
2014,WA,711518,0
2015,ACT,50640,0
2015,NSW,486571,0
2015,NT,24928,0
2015,QLD,1076622,0
2015,SA,85282,0
2015,TAS,15220,0
2015,VIC,1306201,0
2015,WA,752276,0
2016,ACT,55750,0
2016,NSW,494676,0
2016,NT,22239,0
2016,QLD,659305,0
2016,SA,182856,0
2016,TAS,15977,0
2016,VIC,1266642,0
2016,WA,567954,0
2017,ACT,52913,0
2017,NSW,731953,0
2017,NT,22556,0
2017,QLD,733717,0
2017,SA,162804,0
2017,TAS,13095,0
2017,VIC,1220180,0
2017,WA,754183,0
2018,ACT,66449,0
2018,NSW,681389,0
2018,NT,37452,0
2018,QLD,1021423,0
2018,SA,174731,0
2018,TAS,8609,0
2018,VIC,1600565,0
2018,WA,689198,0
2019,ACT,59330,0
2019,NSW,658793,0
2019,NT,39500,0
2019,QLD,1041780,0
2019,SA,202914,0
2019,TAS,6738,0
2019,VIC,1004679,0
2019,WA,682996,0
2020,ACT,57612,0
2020,NSW,915316,0
2020,NT,40921,0
2020,QLD,910858,0
2020,SA,175237,0
2020,TAS,40751,0
2020,VIC,937192,0
2020,WA,695586,0
2021,ACT,113807,0
2021,NSW,1452620,0
2021,NT,38648,0
2021,QLD,978926,0
2021,SA,202693,0
2021,TAS,39228,0
2021,VIC,1231672,0
2021,WA,809544,0
2022,NSW,1217596,0
2022,NT,33642,0
2022,QLD,849399,0
2022,SA,186196,0
2022,TAS,42737,0
2022,VIC,1378231,0
2022,WA,843541,0
2023,ACT,71961,0
2023,NSW,881458,0
2023,NT,43306,44
2023,QLD,860626,0
2023,SA,203602,102
2023,TAS,65040,0
2023,VIC,1302617,0
2023,WA,807487,13
2024,ACT,68846,10
2024,NSW,905651,0
2024,NT,48055,41
2024,QLD,794883,0
2024,SA,184497,93
2024,TAS,74993,0
2024,VIC,773469,0
2024,WA,472833,23
